date,voltage_per_cell_v,temperature_c,load_percent,backup_time_min,charger_efficiency_percent,operating_mode,health_status,failure_mode
2024-04-25,1.9894432345496056,25.47122911621713,67.70865193886966,22.607068771100792,93.14375404320693,Boost,Warning,Battery degradation
2024-05-13,2.105321511384595,24.49004556515829,75.0399298858269,16.74515095803494,93.09150685192246,Inverter,Warning,Reduced capacity
2024-05-21,2.130300497567282,22.439141295007435,77.54794181984364,19.59035296058139,93.69645636829004,Boost,Warning,Reduced capacity
2024-07-05,2.07224002366534,28.76231413888118,45.51986099583756,19.00597021689959,92.44001445005333,Inverter,Warning,Reduced capacity
2024-08-20,1.9750297142563211,29.581885145181484,46.10427533236404,21.773006265215542,93.02257043200964,Float,Warning,Battery degradation
2024-09-22,1.9862266716823067,23.87132921236249,58.55912444278385,20.95152628579446,92.5999287299962,Boost,Warning,Battery degradation
2024-09-26,2.0067551015775047,20.84215773019609,69.34319911239274,19.36560650792289,91.77523459810732,Boost,Warning,Reduced capacity
2024-09-28,1.9494478853927544,24.95751110349504,63.91804005402547,18.40544215612936,92.18335991977916,Boost,Warning,Battery degradation
2024-10-01,2.067352697003829,29.62341696028469,46.28098857068643,17.132193010616295,93.4711703274936,Boost,Warning,Reduced capacity
2024-10-11,2.092914803952482,28.8450146746196,56.350472704571146,19.003951663304967,90.95519080597896,Inverter,Warning,Reduced capacity
2024-10-12,1.9666821705312,30.862414259880644,48.96791634278317,21.89373188207114,91.72318670011109,Float,Warning,Battery degradation
2024-10-13,2.0793703348904558,28.431474425078594,68.60473488359746,19.88461280715531,91.8328782862136,Inverter,Warning,Reduced capacity
2024-10-15,2.095144063433371,29.24694771497065,61.81021558703707,15.915840260220769,92.39968795175264,Boost,Warning,Reduced capacity
2024-10-18,1.9709618620422087,28.556683242209065,63.81158384882778,28.248763770413728,92.67318135126996,Boost,Warning,Battery degradation
2024-10-19,2.051077200800812,24.65140352742127,57.90976742713975,17.347397728953503,91.41947655019528,Float,Warning,Reduced capacity
2024-10-20,2.08642892022103,30.48980900870281,63.94671529822981,15.420584689824077,92.44460266822014,Float,Warning,Reduced capacity
2024-10-22,2.0874140216921933,27.008103702784435,64.19532443907028,16.562539110989498,91.5625416996766,Float,Warning,Reduced capacity
2024-10-23,2.090119067891389,26.554333695816467,77.26963851233405,18.80181907192699,92.22468472575189,Inverter,Warning,Reduced capacity
2024-12-16,1.9648383853500384,26.355750639061814,53.45924316872576,20.846835515717714,92.51120259952498,Float,Warning,Battery degradation
2025-02-20,2.10002639794283,26.20241349785823,45.56145183866458,18.51909523431381,91.44946315050842,Float,Warning,Reduced capacity
2025-02-27,2.0743393216764208,24.542800169319964,50.05650625391488,17.188331706023448,91.80897223739984,Boost,Warning,Reduced capacity
2025-03-27,2.1181815941312485,26.7737747801946,55.79238206318946,16.97893071686433,92.1989481467965,Float,Warning,Reduced capacity
2025-06-03,1.98765553330077,23.786599410469407,62.11283692279473,36.00039478213431,91.5080975524938,Inverter,Warning,Battery degradation
2025-06-27,1.9949986746174189,26.251016033662072,68.8523148298899,27.03822022173973,92.12354769595558,Boost,Warning,Battery degradation
2025-07-30,1.9880884383337516,20.758599694729867,53.93134822142824,32.28843293026776,89.25249515727477,Inverter,Warning,Battery degradation
2025-08-29,1.9455836323293505,23.683503175332305,64.53508712554468,25.088529828726603,91.0589842215896,Float,Warning,Battery degradation
2025-09-01,1.9525029360711263,27.318148129911798,56.63745261318928,32.12744966620115,91.69724692364522,Boost,Warning,Battery degradation
2025-09-02,1.9814163151384767,23.581117995144908,57.11451304124295,26.081232394377857,92.06826990917014,Boost,Warning,Battery degradation
2025-09-06,1.966533475172665,28.40502931625921,62.02328796422802,38.15928449544555,88.93363367114269,Float,Warning,Battery degradation
2025-09-10,1.9191010387306424,26.519424590968335,59.05541285557997,32.09804986012059,88.13611703941024,Inverter,Warning,Battery degradation
2025-09-12,1.9646553716006323,26.711111318041425,76.4948089432392,35.353052799895934,87.93706419685927,Float,Warning,Battery degradation
2025-09-14,1.9319108078043816,24.433722206512467,56.991402528591735,23.952615322905974,88.72231206268552,Boost,Warning,Battery degradation
2025-09-15,1.9975736804470257,24.61146173604296,52.44208499841637,35.24353563208282,89.82207377975497,Inverter,Warning,Battery degradation
2025-09-16,1.955821925807673,23.77566616569036,64.91207665411996,28.209853101265068,87.86060279933676,Float,Warning,Battery degradation
2025-09-18,1.965538292288928,24.92485871004104,42.68798696555075,37.47469113726618,87.70799229893728,Inverter,Warning,Battery degradation
2025-09-19,1.987150106522369,26.903099541148087,49.788375424397,32.367359495176146,87.23235890910121,Float,Warning,Battery degradation
2025-09-21,1.9785022093684104,23.584748210355947,52.87826135823956,29.446673157213358,86.27002443935146,Boost,Warning,Battery degradation
2025-11-12,1.973387695739016,26.36413898012526,61.26177903661967,28.887625516108677,94.04686219571956,Float,Warning,Battery degradation
2026-01-12,2.028204523806574,22.368368367144985,62.81009250281807,19.33702186922582,93.01263740964409,Float,Warning,Reduced capacity
2026-01-25,2.1235771190209105,21.3377102433233,47.71556168734237,19.622059954607334,91.91393030720911,Boost,Warning,Reduced capacity
2026-02-27,2.118957655936306,27.46044435130157,54.03025713278926,18.04847816265281,91.58777925497552,Inverter,Warning,Reduced capacity
2026-03-08,1.995895064840551,26.10629831275842,54.517997018332274,39.61722897412477,91.22538502998142,Boost,Warning,Battery degradation
2026-03-17,2.143111175594349,22.167545888414708,48.4884626344713,15.804606702572864,91.19061917891725,Float,Warning,Reduced capacity
2026-04-09,1.968463493158547,25.776751458460332,59.05175768719128,27.42608662542629,92.24353020418634,Boost,Warning,Battery degradation
2026-04-18,2.119789942435488,25.52710162390957,72.84095793948117,17.86803964732396,89.61307012980433,Boost,Warning,Reduced capacity
2026-04-24,1.980402189784349,26.6895487515634,59.9443970635193,35.892563448992114,90.62659711103024,Inverter,Warning,Battery degradation
2026-05-17,2.0677213963982304,21.677833168865654,65.03252064749505,19.682984237602728,91.68264950775746,Float,Warning,Reduced capacity
2026-05-20,1.9981889748572037,25.09498693650329,57.50928155346959,21.63553049344213,92.40421286527732,Boost,Warning,Battery degradation
2026-06-01,2.06658274025766,24.87784865729525,49.41559366358347,17.509694912535302,92.20045963141374,Float,Warning,Reduced capacity
2026-06-18,2.1838688543902744,23.38965649651425,70.7684814465768,19.15161291137149,90.80581059890773,Boost,Warning,Reduced capacity
2026-07-07,2.0693206197318603,25.39248188133344,65.45786713532355,19.14214297619776,91.99188679838824,Inverter,Warning,Reduced capacity
2026-07-16,1.954287200509153,26.046446371474065,47.79679310056024,19.913306009387945,89.16767407501585,Inverter,Warning,Battery degradation
2026-08-03,1.941478713206097,25.421201678595285,55.1152391988964,37.96334999141442,92.01934407081175,Inverter,Warning,Battery degradation
2026-08-15,2.08471946929231,26.461917952752437,53.493401726316165,19.548485505734217,91.82974175320408,Boost,Warning,Reduced capacity
2026-08-17,2.036799691602632,25.97236958312388,40.50628244677577,19.748212713579,92.73918049470156,Float,Warning,Reduced capacity
2026-08-28,1.9687591471812944,30.098019417435445,65.3102609489421,30.744384019588452,93.18156771641917,Float,Warning,Battery degradation
2026-09-21,2.176437392527045,24.837908070556512,49.9155126745265,19.57051061133331,90.5279629269732,Boost,Warning,Reduced capacity
2026-09-25,1.9950321867790488,26.366446029577617,58.85197751240936,32.8338586309209,91.34262744600528,Float,Warning,Battery degradation
